MedID,BlockID,Specialite,Symptomes_associes,Indications,RedFlags
1,B1,Cardiologie,"Douleur thoracique constrictive, sensation d'oppression dans la poitrine, douleur irradiant vers le bras gauche ou la mâchoire, palpitations, essoufflement à l'effort ou au repos, fatigue inhabituelle, sensation de cœur qui bat irrégulièrement","Symptômes évoquant une atteinte cardiaque, trouble du rythme ou pathologie coronarienne","Douleur thoracique intense persistante, perte de connaissance, difficulté respiratoire aiguë"
2,B1,Cardiologie,"Hypertension artérielle persistante, maux de tête associés à tension élevée, vertiges, bourdonnements d'oreille, fatigue cardiovasculaire","Bilan de tension élevée ou suspicion de pathologie vasculaire","Pression très élevée >18/11, douleur thoracique brutale"
3,B2,Neurologie,"Maux de tête sévères, migraine pulsatile, sensibilité à la lumière, nausées, troubles visuels transitoires, aura","Orientation vers migraine ou trouble neurologique bénin","Céphalée brutale inhabituelle, troubles de la parole, paralysie"
4,B2,Neurologie,"Engourdissement d'un membre, faiblesse musculaire localisée, perte de coordination, tremblements, troubles de la mémoire récents","Exploration neurologique pour suspicion atteinte nerveuse ou cérébrale","Déficit moteur soudain, confusion aiguë"
5,B3,Gastro-entérologie,"Douleurs abdominales diffuses, ballonnements, diarrhée persistante, constipation chronique, reflux acide, brûlures gastriques","Troubles digestifs fonctionnels ou inflammatoires","Vomissements sanglants, douleur abdominale intense brutale"
6,B3,Gastro-entérologie,"Nausées prolongées, perte d'appétit, douleurs épigastriques, digestion difficile après repas gras","Suspicion gastrite ou ulcère","Perte de poids rapide inexpliquée"
7,B4,Pneumologie,"Toux sèche persistante, toux grasse avec expectoration, respiration sifflante, oppression thoracique, essoufflement à l'effort","Suspicion asthme ou infection respiratoire","Détresse respiratoire aiguë, cyanose"
8,B4,Pneumologie,"Essoufflement progressif, fatigue respiratoire, douleur thoracique lors de respiration profonde","Exploration pulmonaire","Essoufflement brutal avec douleur thoracique intense"
9,B5,Dermatologie,"Éruption cutanée rouge, plaques prurigineuses, démangeaisons persistantes, lésions squameuses, peau sèche et fissurée","Affection dermatologique inflammatoire","Gonflement visage/gorge, réaction allergique sévère"
10,B5,Dermatologie,"Boutons purulents, rougeur locale, infection cutanée douloureuse","Suspicion infection bactérienne","Fièvre élevée associée"
11,B6,ORL,"Mal de gorge persistant, difficulté à avaler, douleur à l'oreille, congestion nasale, perte d'odorat","Infection ORL probable","Difficulté respiratoire, fièvre élevée persistante"
12,B6,ORL,"Vertiges positionnels, sensation d'oreille bouchée, acouphènes","Trouble vestibulaire ou auditif","Perte auditive brutale"
13,B7,Rhumatologie,"Douleur articulaire chronique, raideur matinale, gonflement des articulations, mobilité réduite","Suspicion arthrite ou pathologie inflammatoire","Articulation rouge chaude très douloureuse"
14,B7,Rhumatologie,"Douleurs lombaires persistantes, sciatalgie, irradiation dans la jambe","Atteinte rachidienne","Perte de contrôle sphinctérien"
15,B8,Endocrinologie,"Fatigue intense, prise ou perte de poids inexpliquée, intolérance au froid ou à la chaleur, chute de cheveux","Trouble thyroïdien suspecté","Troubles du rythme cardiaque sévères"
16,B8,Endocrinologie,"Soif excessive, urines fréquentes, vision trouble","Suspicion diabète","Perte de conscience"
17,B9,Urologie,"Douleur à la miction, brûlures urinaires, envies fréquentes d'uriner, douleur pelvienne","Infection urinaire possible","Fièvre élevée avec douleur lombaire"
18,B9,Urologie,"Sang dans les urines, douleur flanc droit ou gauche","Exploration rénale","Douleur intense type colique néphrétique"
19,B10,Gynécologie,"Douleurs pelviennes, règles irrégulières, saignements anormaux, pertes vaginales inhabituelles","Bilan gynécologique","Douleur abdominale aiguë + retard règles"
20,B10,Gynécologie,"Douleur pendant rapports, sécheresse vaginale","Consultation gynécologique","Douleur intense avec fièvre"
21,B11,Psychiatrie,"Anxiété persistante, crises de panique, insomnies, ruminations mentales","Trouble anxieux possible","Idées suicidaires"
22,B11,Psychiatrie,"Tristesse prolongée, perte d'intérêt, fatigue psychique","Suspicion dépression","Idées noires persistantes"
23,B12,Ophtalmologie,"Vision floue, douleur oculaire, sensibilité à la lumière","Pathologie oculaire","Perte brutale de vision"
24,B12,Ophtalmologie,"Sécheresse oculaire, irritation, sensation corps étranger","Trouble bénin surface oculaire","Douleur intense soudaine"
25,B13,Néphrologie,"Œdèmes des jambes, fatigue, diminution volume urinaire","Exploration fonction rénale","Arrêt urines brutal"
26,B14,Infectiologie,"Fièvre persistante, frissons, sueurs nocturnes, douleurs diffuses","Infection systémique suspectée","Fièvre >40 persistante"
27,B15,Médecine générale,"Fatigue générale, malaise diffus, symptômes non spécifiques","Orientation initiale","Aggravation rapide état général"
28,B1,Cardiologie,"Douleur thoracique diffuse augmentée à l'effort, oppression centrale, sensation d'écrasement, sueurs froides, nausées associées","Suspicion angor d'effort ou pathologie coronarienne","Douleur prolongée >20 minutes, malaise avec perte de connaissance"
29,B1,Cardiologie,"Palpitations soudaines, cœur battant très vite au repos, sensation de battement irrégulier, vertiges légers","Trouble du rythme cardiaque possible","Syncope ou douleur thoracique associée"
30,B1,Cardiologie,"Œdème des chevilles, essoufflement nocturne, fatigue inhabituelle, prise de poids rapide liée à rétention","Suspicion insuffisance cardiaque","Difficulté respiratoire sévère"
31,B2,Neurologie,"Céphalée en coup de tonnerre, douleur brutale intense, raideur de nuque, nausée soudaine","Orientation neurologique urgente","Céphalée brutale inhabituelle maximale d'emblée"
32,B2,Neurologie,"Trouble de l'équilibre progressif, sensation d'instabilité, démarche hésitante","Exploration neurologique ou vestibulaire","Chute brutale avec déficit moteur"
33,B2,Neurologie,"Picotements persistants des mains, fourmillements nocturnes, perte de sensibilité","Atteinte nerveuse périphérique possible","Perte totale de force soudaine"
34,B3,Gastro-entérologie,"Brûlures gastriques après repas, remontées acides, goût amer dans la bouche","Reflux gastro-œsophagien","Douleur thoracique intense non expliquée"
35,B3,Gastro-entérologie,"Douleur abdominale localisée fosse iliaque droite, fièvre modérée, perte d'appétit","Suspicion appendicite","Douleur intense avec rigidité abdominale"
36,B3,Gastro-entérologie,"Diarrhée aqueuse depuis plusieurs jours, crampes abdominales, fatigue","Infection digestive possible","Déshydratation sévère"
37,B4,Pneumologie,"Toux chronique depuis plusieurs semaines, expectoration matinale, fatigue respiratoire","Exploration bronchite chronique","Essoufflement sévère au repos"
38,B4,Pneumologie,"Sifflements respiratoires nocturnes, oppression thoracique, amélioration après bronchodilatateur","Asthme probable","Crise d'asthme sévère"
39,B4,Pneumologie,"Douleur thoracique augmentée à l'inspiration profonde, toux sèche","Pleurésie possible","Essoufflement brutal"
40,B5,Dermatologie,"Plaques rouges étendues avec démangeaisons intenses, aggravation au stress","Dermatite atopique ou eczéma","Œdème du visage"
41,B5,Dermatologie,"Lésion pigmentée changeant de forme ou couleur, saignement spontané","Contrôle dermatologique","Modification rapide suspecte"
42,B5,Dermatologie,"Chute de cheveux diffuse, cuir chevelu irrité","Alopécie ou trouble dermatologique","Chute brutale massive"
43,B6,ORL,"Douleur sinusale, pression frontale, écoulement nasal épais","Sinusite probable","Fièvre élevée persistante"
44,B6,ORL,"Enrouement persistant, voix rauque depuis plus de 3 semaines","Exploration laryngée","Difficulté respiratoire"
45,B6,ORL,"Saignement nasal fréquent sans traumatisme","Exploration ORL","Saignement abondant incontrôlable"
46,B7,Rhumatologie,"Raideur des doigts le matin >1h, gonflement symétrique","Polyarthrite possible","Fièvre + douleur intense"
47,B7,Rhumatologie,"Douleur cervicale irradiant vers l'épaule, mobilité réduite","Trouble musculo-squelettique","Déficit moteur associé"
48,B7,Rhumatologie,"Douleur talon au réveil, aggravée à la marche","Fasciite plantaire","Impossibilité totale appui"
49,B8,Endocrinologie,"Perte de poids rapide avec appétit conservé, nervosité, palpitations","Hyperthyroïdie suspectée","Trouble cardiaque sévère"
50,B8,Endocrinologie,"Prise de poids, fatigue, frilosité, peau sèche","Hypothyroïdie suspectée","Confusion mentale sévère"
51,B8,Endocrinologie,"Soif excessive nocturne, infections répétées","Diabète possible","Coma diabétique suspect"
52,B9,Urologie,"Douleur lombaire irradiant vers l'aine, nausées","Colique néphrétique","Douleur insupportable"
53,B9,Urologie,"Envie urgente d'uriner sans volume important, brûlure mictionnelle","Cystite probable","Fièvre + douleur flanc"
54,B10,Gynécologie,"Douleur pelvienne cyclique, règles douloureuses invalidantes","Endométriose possible","Douleur aiguë soudaine"
55,B10,Gynécologie,"Retard de règles, nausées matinales, tension mammaire","Grossesse possible","Douleur abdominale intense"
56,B11,Psychiatrie,"Insomnies persistantes, réveils nocturnes fréquents, anxiété","Trouble anxieux ou insomnie chronique","Idées suicidaires"
57,B11,Psychiatrie,"Perte d'intérêt généralisée, isolement social, fatigue psychique","Épisode dépressif possible","Idées auto-agressives"
58,B11,Psychiatrie,"Irritabilité extrême, agitation, dépenses excessives","Trouble bipolaire possible","Comportement dangereux"
59,B12,Ophtalmologie,"Douleur oculaire avec rougeur, vision trouble progressive","Inflammation oculaire","Perte soudaine vision"
60,B12,Ophtalmologie,"Vision double intermittente, fatigue visuelle","Trouble visuel neurologique ou ophtalmo","Diplopie brutale"
61,B13,Néphrologie,"Urines mousseuses, œdème visage au réveil","Atteinte rénale possible","Arrêt urinaire"
62,B13,Néphrologie,"Douleur lombaire bilatérale, fièvre, frissons","Pyélonéphrite possible","Sepsis suspect"
63,B14,Infectiologie,"Fièvre persistante avec toux, courbatures, fatigue intense","Infection virale ou bactérienne","Détresse respiratoire"
64,B14,Infectiologie,"Ganglions gonflés, fièvre modérée, fatigue prolongée","Infection systémique","Fièvre élevée prolongée"
65,B15,Médecine générale,"Douleurs diffuses non spécifiques, fatigue chronique, malaises intermittents","Orientation initiale non spécifique","Aggravation rapide"
66,B15,Médecine générale,"Perte d'appétit, fatigue, symptômes multiples vagues","Consultation générale initiale","Perte poids importante"
67,B3,Gastro-entérologie,"Ballonnements après repas, alternance diarrhée-constipation","Syndrome de l'intestin irritable","Douleur intense aiguë"
68,B4,Pneumologie,"Respiration courte après infection virale récente","Suivi respiratoire","Saturation basse"
69,B5,Dermatologie,"Urticaire généralisée après prise médicament","Réaction allergique cutanée","Gonflement gorge"
70,B2,Neurologie,"Trouble mémoire récent, difficulté concentration","Exploration neurologique cognitive","Confusion aiguë"
71,B1,Cardiologie,"Douleur thoracique à l'effort soulagée au repos","Angor stable","Douleur prolongée repos"
72,B6,ORL,"Otalgie avec écoulement purulent","Otite moyenne","Douleur intense + fièvre élevée"
73,B7,Rhumatologie,"Douleur genou après effort, gonflement léger","Atteinte articulaire mécanique","Blocage articulaire complet"
74,B8,Endocrinologie,"Hypoglycémie répétée, sueurs, tremblements","Trouble glycémique","Perte connaissance"
75,B9,Urologie,"Douleur testiculaire soudaine","Urgence urologique","Douleur intense aiguë"
76,B10,Gynécologie,"Pertes vaginales malodorantes, démangeaisons","Infection gynécologique","Fièvre élevée"
77,B11,Psychiatrie,"Crises de panique avec tachycardie et sensation étouffement","Trouble anxieux","Syncope"
78,B12,Ophtalmologie,"Flash lumineux et voile noir","Décollement rétine possible","Perte vision brutale"
79,B13,Néphrologie,"Hypertension avec anomalies urinaires","Exploration rénale","Crise hypertensive"
80,B14,Infectiologie,"Fièvre + éruption cutanée diffuse","Infection virale exanthémateuse","Altération état général"
81,B3,Gastro-entérologie,"Sang dans les selles, douleurs abdominales chroniques","Maladie inflammatoire intestinale","Hémorragie digestive"
82,B4,Pneumologie,"Douleur thoracique latérale + toux sèche","Pleurésie possible","Essoufflement sévère"
83,B2,Neurologie,"Convulsions isolées, perte de conscience brève","Épilepsie possible","Crise prolongée"
84,B5,Dermatologie,"Plaie cutanée ne cicatrisant pas","Consultation dermatologique","Infection étendue"
85,B1,Cardiologie,"Essoufflement nocturne avec réveil brutal","Insuffisance cardiaque","Détresse respiratoire"
86,B6,ORL,"Perte progressive audition","Exploration auditive","Perte brutale"
87,B7,Rhumatologie,"Douleur épaule persistante, limitation mouvement","Atteinte tendineuse","Impossibilité totale mouvement"
88,B8,Endocrinologie,"Cycles menstruels irréguliers + acné","Trouble hormonal","Hémorragie sévère"
89,B9,Urologie,"Incontinence urinaire effort","Exploration urologique","Douleur intense associée"
90,B10,Gynécologie,"Douleur mammaire persistante","Consultation gynécologique","Masse palpable dure"
91,B11,Psychiatrie,"Hallucinations auditives récentes","Trouble psychotique possible","Comportement dangereux"
92,B12,Ophtalmologie,"Rougeur oculaire avec sécrétions épaisses","Conjonctivite","Douleur intense"
93,B13,Néphrologie,"Diminution progressive urines","Atteinte rénale chronique","Arrêt brutal"
94,B14,Infectiologie,"Frissons intenses + fièvre + douleur musculaire","Infection aiguë","Choc septique suspect"
95,B3,Gastro-entérologie,"Vomissements répétés, incapacité alimentation","Gastro-entérite","Déshydratation sévère"
96,B4,Pneumologie,"Toux avec crachats sanglants","Exploration pulmonaire urgente","Hémoptysie abondante"
97,B2,Neurologie,"Vision trouble + maux de tête","Trouble neurologique possible","Déficit moteur"
98,B1,Cardiologie,"Battements cardiaques irréguliers intermittents","Arythmie possible","Syncope"
99,B15,Médecine générale,"Fièvre modérée + fatigue + douleurs diffuses","Orientation initiale","Aggravation rapide"
100,B15,Médecine générale,"Symptômes multiples légers persistants sans localisation claire","Consultation de tri initial","Altération état général sévère"
